id,comm_time,comp_time,hostname
42,71.26,12.86,xcnc33.comp.nus.edu.sg
43,66.71,17.41,xcnc33.comp.nus.edu.sg
44,67.46,16.67,xcnc33.comp.nus.edu.sg
45,69.98,14.15,xcnc33.comp.nus.edu.sg
46,69.25,14.88,xcnc33.comp.nus.edu.sg
47,68.68,15.46,xcnc33.comp.nus.edu.sg
48,70.05,14.1,xcnc33.comp.nus.edu.sg
49,71.06,13.08,xcnc33.comp.nus.edu.sg
50,68.96,15.19,xcnc33.comp.nus.edu.sg
51,68.07,16.08,xcnc33.comp.nus.edu.sg
52,70.7,13.45,xcnc33.comp.nus.edu.sg
53,68.81,15.35,xcnc33.comp.nus.edu.sg
54,71.58,12.58,xcnc33.comp.nus.edu.sg
55,71.32,12.85,xcnc33.comp.nus.edu.sg
56,71.22,12.94,xcnc33.comp.nus.edu.sg
57,70.64,13.52,xcnc33.comp.nus.edu.sg
58,69.03,15.15,xcnc33.comp.nus.edu.sg
59,71.27,12.91,xcnc33.comp.nus.edu.sg
60,70.86,13.33,xcnc33.comp.nus.edu.sg
61,70.87,13.33,xcnc33.comp.nus.edu.sg
62,69.5,14.7,xcnc33.comp.nus.edu.sg
min,66.31,12.28,
mean,69.2774603174603,14.4307936507937,
max,71.81,17.69,
